1001,あいざわ　つはさ,0.275,0.790,0.150,0.000,0.060,60
1002,あかし　けんし,0.279,0.853,0.105,0.032,0.011,45
1003,あきやま　しょーご,0.322,0.731,0.150,0.020,0.099,90
1004,あざむら　ひでと,0.291,0.756,0.154,0.005,0.086,70
1005,あだち　りょーいち,0.203,0.810,0.114,0.038,0.038,15
1006,あべ　じんのすけ,0.262,0.810,0.088,0.000,0.102,60
1007,あべ　ともひろう,0.31,0.837,0.111,0.026,0.026,60
1008,アマター,0.237,0.756,0.069,0.000,0.176,60
1009,あらい　たかぴろ,0.292,0.755,0.149,0.000,0.096,80
1010,あらき　まさぴろ,0.249,0.899,0.087,0.014,0.000,25
1011,いしい　かづなり,0.205,0.833,0.103,0.026,0.038,25
1012,いしかわ　じんご,0.242,0.740,0.156,0.039,0.065,30
1013,いどい　よしお,0.29,0.790,0.102,0.000,0.108,80
1014,いとう　ぴかる,0.189,0.698,0.170,0.038,0.094,35
1015,いまみや　けんたろう,0.264,0.743,0.144,0.037,0.075,60
1016,ウィーラ,0.271,0.717,0.132,0.000,0.151,80
1017,うえばやし　せーじ,0.26,0.725,0.154,0.034,0.087,50
1018,うえもと　ぴろき,0.284,0.795,0.137,0.007,0.062,60
1019,うちかわ　せーいち,0.297,0.760,0.125,0.000,0.115,90
1020,うめの　りゅーたろう,0.206,0.817,0.127,0.028,0.028,15
1021,エルトレット,0.265,0.705,0.085,0.000,0.209,80
1022,おおしま　よーへい,0.313,0.851,0.114,0.017,0.017,55
1023,おおしろ　こーじ,0.246,0.867,0.102,0.010,0.020,15
1024,おおた　だいし,0.258,0.748,0.143,0.007,0.102,60
1025,おーたに　しょーへい,0.332,0.728,0.174,0.011,0.087,80
1026,おおびき　けーじ,0.227,0.795,0.141,0.000,0.064,30
1027,おおみね　しょーた,0.206,0.733,0.150,0.033,0.083,35
1028,おかじま　たけろー,0.26,0.809,0.118,0.045,0.027,30
1029,おぎの　たかじ,0.264,0.770,0.180,0.008,0.041,50
1030,かい　たぐや,0.232,0.750,0.125,0.047,0.078,40
1031,かくなか　かづや,0.269,0.780,0.129,0.030,0.061,50
1032,かじたに　たがゆき,0.243,0.713,0.155,0.011,0.121,50
1033,かとう　しょーへい,0.266,0.766,0.128,0.053,0.053,50
1034,かねこ　ゆーじ,0.272,0.762,0.168,0.020,0.050,50
1035,かめい　よじゆき,0.251,0.738,0.190,0.000,0.071,50
1036,かめざわ　きょーへい,0.287,0.913,0.063,0.000,0.025,50
1037,きくち　りょーすけ,0.271,0.773,0.141,0.015,0.071,60
1038,きょうだ　よーた,0.264,0.810,0.125,0.043,0.022,40
1039,きよだ　いくひろ,0.203,0.797,0.136,0.017,0.051,25
1040,ぎんじー,0.293,0.824,0.160,0.000,0.016,55
1041,くらもと　とじひこ,0.262,0.816,0.166,0.006,0.012,25
1042,くりやま　たぐみ,0.252,0.792,0.123,0.000,0.085,50
1043,くわばら　まさゆぎ,0.269,0.742,0.175,0.023,0.060,50
1044,ゲレーロー,0.279,0.686,0.115,0.016,0.183,90
1045,げんだ　そーすけ,0.27,0.833,0.097,0.054,0.016,35
