2001,あきやま　たぐみ,3.86,0.050,80
2002,あずま　かづき,2.45,0.070,90
2003,ありはら　こーへい,4.55,0.042,55
2004,ありよし　ゆーき,3.74,0.076,60
2005,アルバーズ,3.08,0.051,100
2006,いしかわ　あゆみ,3.92,0.057,70
2007,いしかわ　しゅーた,3.6,0.104,40
2008,いしかわ　まさおり,4.88,0.092,25
2009,いしだ　げんた,4.97,0.096,15
2010,いしやま　たいぢ,2.08,0.057,100
2011,いまい　たづや,4.81,0.119,10
2012,いまなが　しょーた,6.8,0.104,15
2013,いまむら　のぷたか,3.86,0.088,50
2014,いわさだ　ゆーた,3.48,0.060,90
2015,ウィーラント,4.99,0.088,25
2016,うつみ　てづや,4.17,0.061,60
2017,うわざわ　なおゆき,3.16,0.064,80
2018,えのきだ　だいぎ,3.32,0.095,50
2019,おおせら　だいぢ,2.62,0.062,90
2020,おがさわら　じんのすけ,4.11,0.107,30
2021,おかだ　あきだけ,5.09,0.109,10
2022,おがわ　やすぴろ,2.75,0.056,100
2023,おの　だいき,4.77,0.147,10
2024,かさはら　しょーたろう,4.14,0.115,25
2025,カスティーオ,4.48,0.155,15
2026,かとう　たがゆき,4.53,0.065,50
2027,かねこ　ちぴろ,3.87,0.088,40
2028,カラシディー,4.18,0.112,15
2029,からしま　わだる,4.05,0.104,30
2030,ガルジア,2.99,0.111,55
2031,きくち　ゆーせい,3.08,0.075,80
2032,きし　たがゆき,2.72,0.059,100
2033,くり　あれむ,4.26,0.086,30
2034,こんどう　かづき,3.64,0.099,40
2035,さいき　ぴろと,4.61,0.117,10
2036,さかい　ともぴと,5.59,0.105,15
2037,ジョソソソ,3.11,0.087,60
2038,すがの　ともゆぎ,2.14,0.050,100
2039,せんが　こーだい,3.51,0.108,50
2040,たかなし　ぴろとし,4.5,0.068,50
2041,たぐち　かづと,4.8,0.083,35
2042,たけだ　しょーた,4.48,0.073,40
2043,たわた　しんさぷろう,3.81,0.079,60
2044,ディクソソ,3.55,0.085,60
2045,とがめ　げん,4.42,0.116,15
2046,なかた　けんいぢ,5.2,0.146,10
2047,にし　ゆーき,3.6,0.062,80
2048,のむら　ゆーすけ,4.22,0.062,50
2049,のりもと　たかぴろ,3.69,0.071,70
2050,ハプ,4.87,0.075,35
2051,はまぐち　はるぴろ,3.9,0.123,25
2052,はら　ぢゅり,3.09,0.074,70
2053,バンデンパーク,4.3,0.121,15
2054,ひがしはま　なぉ,3.32,0.082,70
2055,ブキャナソ,4.03,0.084,50
2056,ふじひら　しょーま,4.43,0.158,15
2057,ふたき　こーた,3.93,0.089,40
2058,ふるかわ　ゆーり,4.13,0.112,25
2059,ボルシンカー,3.06,0.092,70
2060,マルティネズ,3.51,0.067,80
2061,みま　まなぷ,4.56,0.076,35
2062,むらた　とーる,3.27,0.072,70
2063,メッセンヂャー,3.63,0.085,50
2064,メルセデズ,2.05,0.053,100
2065,やまおか　だいすけ,3.95,0.089,40
2066,やまぐち　じゅん,3.68,0.107,40
2067,よしかわ　みづお,4.26,0.100,20
2068,よしみ　かづき,3.87,0.054,80
2069,わくい　ぴであき,3.7,0.072,70
