1001,あいざわ　つはさ,0.305,0.750,0.141,0.008,0.102,85
1002,あおき　のりちが,0.327,0.764,0.175,0.014,0.047,75
1003,あきやま　しょーご,0.323,0.733,0.147,0.030,0.090,80
1004,あざむら　ひでと,0.31,0.748,0.115,0.000,0.137,80
1005,あだち　りょーいち,0.219,0.850,0.100,0.025,0.025,28
1006,あべ　じんのすけ,0.247,0.742,0.091,0.000,0.167,53
1007,あべ　ともひろう,0.236,0.732,0.155,0.056,0.056,30
1008,アマター,0.269,0.687,0.072,0.000,0.241,58
1009,アルシアン,0.222,0.724,0.115,0.000,0.161,50
1010,アルモンデ,0.321,0.755,0.175,0.000,0.071,55
1011,いどい　よしお,0.308,0.763,0.142,0.000,0.095,85
1012,いとばら　けんと,0.286,0.817,0.156,0.022,0.005,73
1013,いのうえ　せーや,0.292,0.728,0.136,0.010,0.126,70
1014,いまえ　とじあき,0.276,0.800,0.117,0.014,0.069,50
1015,いまみや　けんたろう,0.266,0.758,0.145,0.008,0.089,53
1016,ウィーラ,0.269,0.767,0.116,0.000,0.116,55
1017,うえだ　がい,0.192,0.974,0.026,0.000,0.000,30
1018,うえばやし　せーじ,0.27,0.706,0.123,0.066,0.104,48
1019,うちかわ　せーいち,0.242,0.782,0.126,0.000,0.092,48
1020,うめの　りゅーたろう,0.259,0.735,0.199,0.007,0.059,50
1021,おおしま　よーへい,0.274,0.826,0.103,0.036,0.036,45
1022,おおしろ　こーじ,0.231,0.813,0.131,0.019,0.037,25
1023,おおた　だいし,0.274,0.724,0.152,0.028,0.097,55
1024,おおやま　ゆーすけ,0.274,0.736,0.147,0.031,0.085,55
1025,おかじま　たけろー,0.19,0.745,0.182,0.018,0.055,28
1026,おかもと　かづま,0.309,0.739,0.115,0.000,0.146,75
1027,おぎの　たかじ,0.287,0.820,0.135,0.027,0.018,50
1028,かい　たぐや,0.213,0.761,0.148,0.011,0.080,28
1029,かくなか　かづや,0.265,0.773,0.163,0.014,0.050,65
