2001,あきやま　たぐみ,3.86,0.050,66
2002,あずま　かづき,2.45,0.070,88
2003,ありはら　こーへい,4.55,0.042,34
2004,ありよし　ゆーき,3.74,0.076,32
2005,アルバーズ,3.08,0.051,68
2006,いしかわ　あゆみ,3.92,0.057,42
2007,いしかわ　しゅーた,3.6,0.104,42
2008,いしかわ　まさおり,4.88,0.092,18
2009,いしだ　げんた,4.97,0.096,32
2010,いしやま　たいぢ,2.08,0.057,88
2011,いまい　たづや,4.81,0.119,36
2012,いまなが　しょーた,6.8,0.104,22
2013,いまむら　のぷたか,3.86,0.088,40
2014,いわさだ　ゆーた,3.48,0.060,64
2015,ウィーラント,4.99,0.088,26
2016,うつみ　てづや,4.17,0.061,34
2017,うわざわ　なおゆき,3.16,0.064,76
2018,えのきだ　だいぎ,3.32,0.095,44
2019,おおせら　だいぢ,2.62,0.062,80
2020,おがさわら　じんのすけ,4.11,0.107,28
2021,おかだ　あきだけ,5.09,0.109,40
2022,おがわ　やすぴろ,2.75,0.056,76
2023,おの　だいき,4.77,0.147,36
2024,かさはら　しょーたろう,4.14,0.115,42
2025,カスティーオ,4.48,0.155,48
2026,かとう　たがゆき,4.53,0.065,42
2027,かねこ　ちぴろ,3.87,0.088,36
2028,カラシディー,4.18,0.112,50
2029,からしま　わだる,4.05,0.104,40
2030,ガルジア,2.99,0.111,70
2031,きくち　ゆーせい,3.08,0.075,84
2032,きし　たがゆき,2.72,0.059,84
2033,くり　あれむ,4.26,0.086,28
2034,こんどう　かづき,3.64,0.099,60
2035,さいき　ぴろと,4.61,0.117,40
2036,さかい　ともぴと,5.59,0.105,16
2037,ジョソソソ,3.11,0.087,60
2038,すがの　ともゆぎ,2.14,0.050,100
2039,せんが　こーだい,3.51,0.108,62
2040,たかなし　ぴろとし,4.5,0.068,30
2041,たぐち　かづと,4.8,0.083,22
2042,たけだ　しょーた,4.48,0.073,44
2043,たわた　しんさぷろう,3.81,0.079,50
2044,ディクソソ,3.55,0.085,72
2045,とがめ　げん,4.42,0.116,32
2046,なかた　けんいぢ,5.2,0.146,36
2047,にし　ゆーき,3.6,0.062,56
2048,のむら　ゆーすけ,4.22,0.062,40
2049,のりもと　たかぴろ,3.69,0.071,68
2050,ハプ,4.87,0.075,32
2051,はまぐち　はるぴろ,3.9,0.123,54
2052,はら　ぢゅり,3.09,0.074,76
2053,バンデンパーク,4.3,0.121,44
2054,ひがしはま　なぉ,3.32,0.082,58
2055,ブキャナソ,4.03,0.084,36
2056,ふじひら　しょーま,4.43,0.158,40
2057,ふたき　こーた,3.93,0.089,60
2058,ふるかわ　ゆーり,4.13,0.112,38
2059,ボルシンカー,3.06,0.092,72
2060,マルティネズ,3.51,0.067,50
2061,みま　まなぷ,4.56,0.076,20
2062,むらた　とーる,3.27,0.072,62
2063,メッセンヂャー,3.63,0.085,64
2064,メルセデズ,2.05,0.053,82
2065,やまおか　だいすけ,3.95,0.089,42
2066,やまぐち　じゅん,3.68,0.107,64
2067,よしかわ　みづお,4.26,0.100,34
2068,よしみ　かづき,3.87,0.054,44
2069,わくい　ぴであき,3.7,0.072,44
