2001,あきやま　たぐみ,2.99,0.034,90
2002,ありはら　こーへい,4.74,0.059,55
2003,いしかわ　あゆみ,5.09,0.059,55
2004,いしかわ　しゅーた,3.29,0.139,35
2005,いしかわ　まさおり,5.11,0.059,55
2006,いしだ　げんた,3.4,0.078,60
2007,いのう　しょーいち,3.84,0.085,30
2008,いまなが　しょーた,2.98,0.095,50
2009,いわさき　しょー,1.99,0.062,90
2010,いわざき　すくる,2.39,0.103,60
2011,いわさだ　ゆーた,4.96,0.112,10
2012,ウィーラント,2.98,0.072,80
2013,ウルプ,3.73,0.070,60
2014,うわざわ　なおゆき,3.44,0.088,50
2015,おおせら　だいぢ,3.65,0.071,60
2016,おおの　ゆーだい,4.02,0.091,20
2017,おがさわら　じんのすけ,4.84,0.103,15
2018,おかだ　あきだけ,4,0.111,15
2019,おがわ　やすぴろ,2.83,0.077,70
2020,おの　だいき,4.35,0.131,15
2021,かとう　たがゆき,3.53,0.075,60
2022,かねこ　ちぴろ,3.47,0.077,60
2023,からかわ　ゆーき,4.49,0.079,25
2024,からしま　わだる,4.19,0.066,50
2025,きくち　ゆーせい,1.97,0.075,80
2026,きし　たがゆき,2.76,0.058,90
2027,くり　あれむ,3.64,0.097,30
2028,さかい　ともぴと,3.13,0.073,70
2029,ささき　ちぱや,4.22,0.135,15
2030,ジョータン,2.3,0.132,55
2031,ジョソソソ,4.01,0.082,30
2032,すがの　ともゆぎ,1.59,0.045,100
2033,スタンリッヂ,4.32,0.129,15
2034,せんが　こーだい,2.64,0.084,60
2035,たかなし　ぴろとし,3.68,0.085,40
2036,たぐち　かづと,3.01,0.075,70
2037,たわた　しんさぷろう,3.44,0.083,50
2038,ディクソソ,3.24,0.077,60
2039,とがめ　げん,3.4,0.076,60
2040,なかた　けんいぢ,4.57,0.129,10
2041,なかむら　ゆーた,3.74,0.090,30
2042,にし　ゆーき,3.44,0.075,60
2043,のうみ　あつじ,3.72,0.079,40
2044,のがみ　りょーま,3.63,0.050,70
2045,のむら　ゆーすけ,2.78,0.065,80
2046,のりもと　たかぴろ,2.57,0.068,90
2047,はたけ　せいしゅー,2.99,0.087,60
2048,はまぐち　はるぴろ,3.57,0.130,25
2049,はら　ぢゅり,3.84,0.072,50
2050,パルデス,3.76,0.086,40
2051,バンデンパーク,3.24,0.079,60
2052,ひがしはま　なぉ,2.64,0.071,90
2053,ブキャナソ,3.66,0.096,30
2054,ふたき　こーた,3.39,0.063,70
2055,ほし　どもや,4.73,0.109,10
2056,マイコラズ,2.25,0.046,100
2057,またよし　かづき,2.13,0.094,60
2058,まつだ　たかぴろ,4.46,0.062,55
2059,みま　まなぷ,3.26,0.054,80
2060,メッセンヂャー,2.39,0.076,80
2061,メンドーザ,3.97,0.105,15
2062,やぶた　かづき,2.58,0.103,60
2063,やまおか　だいすけ,3.74,0.091,30
2064,やまなか　ぴろふみ,5.14,0.063,45
2065,よしみ　かづき,5.23,0.045,55
2066,わくい　ぴであき,3.99,0.089,20
