1001,あいざわ　つはさ,0.305,0.750,0.141,0.008,0.102,80
1002,あおき　のりちが,0.327,0.764,0.175,0.014,0.047,60
1003,あきやま　しょーご,0.323,0.733,0.147,0.030,0.090,80
1004,あざむら　ひでと,0.31,0.748,0.115,0.000,0.137,90
1005,あだち　りょーいち,0.219,0.850,0.100,0.025,0.025,10
1006,あべ　じんのすけ,0.247,0.742,0.091,0.000,0.167,70
1007,あべ　ともひろう,0.236,0.732,0.155,0.056,0.056,30
1008,アマター,0.269,0.687,0.072,0.000,0.241,80
1009,アルシアン,0.222,0.724,0.115,0.000,0.161,55
1010,アルモンデ,0.321,0.755,0.175,0.000,0.071,70
1011,いどい　よしお,0.308,0.763,0.142,0.000,0.095,70
1012,いとばら　けんと,0.286,0.817,0.156,0.022,0.005,45
1013,いのうえ　せーや,0.292,0.728,0.136,0.010,0.126,80
1014,いまえ　とじあき,0.276,0.800,0.117,0.014,0.069,50
1015,いまみや　けんたろう,0.266,0.758,0.145,0.008,0.089,60
1016,ウィーラ,0.269,0.767,0.116,0.000,0.116,70
1017,うえだ　がい,0.192,0.974,0.026,0.000,0.000,10
1018,うえばやし　せーじ,0.27,0.706,0.123,0.066,0.104,70
1019,うちかわ　せーいち,0.242,0.782,0.126,0.000,0.092,40
1020,うめの　りゅーたろう,0.259,0.735,0.199,0.007,0.059,40
1021,おおしま　よーへい,0.274,0.826,0.103,0.036,0.036,40
1022,おおしろ　こーじ,0.231,0.813,0.131,0.019,0.037,20
1023,おおた　だいし,0.274,0.724,0.152,0.028,0.097,70
1024,おおやま　ゆーすけ,0.274,0.736,0.147,0.031,0.085,60
1025,おかじま　たけろー,0.19,0.745,0.182,0.018,0.055,25
1026,おかもと　かづま,0.309,0.739,0.115,0.000,0.146,90
1027,おぎの　たかじ,0.287,0.820,0.135,0.027,0.018,45
1028,かい　たぐや,0.213,0.761,0.148,0.011,0.080,35
1029,かくなか　かづや,0.265,0.773,0.163,0.014,0.050,50
1030,かねこ　ゆーじ,0.223,0.863,0.088,0.038,0.013,10
1031,かみさと　かづき,0.251,0.738,0.167,0.036,0.060,40
1032,かめい　よじゆき,0.254,0.764,0.143,0.000,0.093,50
1033,かわばた　しんごう,0.259,0.856,0.100,0.011,0.033,30
1034,きくち　りょーすけ,0.233,0.760,0.158,0.006,0.076,40
1035,きょうだ　よーた,0.235,0.840,0.093,0.043,0.025,15
1036,きよだ　いくひろ,0.226,0.819,0.139,0.014,0.028,15
1037,ぎんじー,0.276,0.840,0.099,0.031,0.031,40
1038,くらもと　とじひこ,0.232,0.869,0.115,0.000,0.016,15
1039,くりやま　たぐみ,0.256,0.743,0.171,0.010,0.076,50
1040,くわばら　まさゆぎ,0.261,0.723,0.175,0.036,0.066,40
1041,ゲレーロー,0.244,0.686,0.167,0.000,0.147,60
1042,げんだ　そーすけ,0.278,0.805,0.132,0.044,0.020,45
1043,こばやし　せーじ,0.219,0.841,0.130,0.000,0.029,15
1044,こやの　えーいち,0.209,0.828,0.155,0.000,0.017,10
1045,こんどー　けんすけ,0.323,0.784,0.153,0.016,0.047,60
1046,さかぐち　ともだか,0.317,0.847,0.116,0.021,0.016,55
1047,さかもと　はやど,0.345,0.764,0.136,0.010,0.090,80
1048,しばた　たづひろ,0.219,0.845,0.103,0.000,0.052,25
1049,しま　もどひろ,0.206,0.833,0.154,0.013,0.000,10
1050,しまうち　ひろあぎ,0.292,0.793,0.110,0.021,0.076,70
1051,しみず　ゆーし,0.215,0.754,0.123,0.000,0.123,45
1052,すずき　せーや,0.32,0.678,0.161,0.010,0.151,100
1053,すずき　だいぢ,0.266,0.756,0.161,0.036,0.048,40
1054,ソット,0.31,0.694,0.086,0.000,0.220,100
1055,たかはし　しゅーへい,0.254,0.738,0.174,0.013,0.074,50
1056,たなか　かづき,0.265,0.789,0.077,0.007,0.127,70
1057,たなか　こーすけ,0.262,0.794,0.101,0.053,0.053,40
1058,たなか　じゅんた,0.241,0.833,0.091,0.045,0.030,20
1059,たむら　たづひろ,0.239,0.805,0.114,0.057,0.024,15
1060,ちょうの　ひざよし,0.29,0.793,0.114,0.000,0.093,70
1061,つつごう　よじとも,0.295,0.670,0.151,0.005,0.174,90
1062,つるおか　じんや,0.243,0.841,0.130,0.000,0.029,30
1063,ティーおかた,0.225,0.736,0.121,0.000,0.143,45
1064,デスパイネン,0.238,0.683,0.106,0.007,0.204,60
1065,とのさき　しゅーた,0.287,0.743,0.137,0.017,0.103,80
1066,とりたに　だがし,0.232,0.810,0.175,0.000,0.016,15
1067,なかしま　たぐや,0.261,0.872,0.094,0.026,0.009,25
1068,なかじま　ひろゆぎ,0.289,0.844,0.091,0.000,0.065,60
1069,なかた　しょー,0.265,0.715,0.160,0.000,0.125,70
1070,なかたに　まざひろ,0.23,0.797,0.094,0.031,0.078,40
1071,なかむら　あぎら,0.292,0.775,0.147,0.005,0.073,70
1072,なかむら　しょーご,0.284,0.793,0.152,0.015,0.040,50
